loss,accuracy,val_loss,val_accuracy
3.2949461936950684,0.13562500476837158,1.9278090000152588,0.3700000047683716
1.363845944404602,0.5637500286102295,0.8551161289215088,0.7099999785423279
0.699325442314148,0.7743750214576721,0.7543383240699768,0.7825000286102295
0.3869498670101166,0.8712499737739563,0.5669969916343689,0.8450000286102295
0.2640153765678406,0.9145833253860474,0.3891606032848358,0.8949999809265137
0.17907243967056274,0.9431250095367432,0.27086886763572693,0.9225000143051147
0.14952757954597473,0.9516666531562805,0.32865145802497864,0.9075000286102295
0.12377910315990448,0.9633333086967468,0.3310551345348358,0.9100000262260437
0.108427032828331,0.9666666388511658,0.2981923520565033,0.9225000143051147
0.10306353121995926,0.96895831823349,0.25991860032081604,0.9200000166893005
